country,abriviation,year,GDP_per_Capita
Armenia,ARM,2020,12619.89258
Azerbaijan,AZE,2020,13726.76953
Bahrain,BHR,2020,41480.57813
Bangladesh,BGD,2020,4871.446289
Bhutan,BTN,2020,10551.45215
Brunei,BRN,2020,62200.88281
Cambodia,KHM,2020,4191.566406
China,CHN,2020,16315.81543
Cyprus,CYP,2020,38816.09375
Georgia,GEO,2020,13966.32617
Hong Kong,HKG,2020,56153.97266
India,IND,2020,6165.746582
Indonesia,IDN,2020,11444.96094
Iran,IRN,2020,12644.44531
Iraq,IRQ,2020,9012.381836
Israel,ISR,2020,39056.41797
Japan,JPN,2020,40232.21094
Jordan,JOR,2020,9816.554688
Kazakhstan,KAZ,2020,25363.16602
Kuwait,KWT,2020,44847.05469
Kyrgyzstan,KGZ,2020,4714.938965
Laos,LAO,2020,7810.734863
Lebanon,LBN,2020,11488.41504
Macao,MAC,2020,57728.98828
Malaysia,MYS,2020,26471.67383
Maldives,MDV,2020,12744.42969
Mongolia,MNG,2020,11723.87305
Myanmar,MMR,2020,4857.389648
Nepal,NPL,2020,3800.065674
Oman,OMN,2020,29502.06055
Pakistan,PAK,2020,4562.622559
Philippines,PHL,2020,7953.581543
Qatar,QAT,2020,85290.45313
Saudi Arabia,SAU,2020,44328.18359
Singapore,SGP,2020,93397.04688
South Korea,KOR,2020,42335.86719
Sri Lanka,LKA,2020,12536.94141
Tajikistan,TJK,2020,3657.573486
Thailand,THA,2020,17284.70117
Turkey,TUR,2020,28393.4668
United Arab Emirates,ARE,2020,63299.42188
Uzbekistan,UZB,2020,7331.859863
Vietnam,VNM,2020,8200.332031
Russia,RUS,2020,10,161.98
